"title","body","labels"
"US-AUTH-01 - Inscription","**En tant que** visiteur,
**je veux** créer un compte,
**afin de** accéder aux services de la bibliothèque.

### Critères d'acceptation
- Formulaire : email, mot de passe, prénom, nom
- Format email validé côté client et serveur (pas de confirmation par lien - A-01)
- Unicité email vérifiée (HTTP 400 si déjà utilisé)
- Mot de passe haché BCrypt (coût 12), jamais en clair dans les logs
- Rôle USER par défaut (RG-USER-01)
- Redirection vers connexion + message de confirmation
- Politique mot de passe RG-SEC-01 affichée à la saisie
- Rate limiting : 3 requêtes POST /auth/register / IP / heure -> 429 (P-11)

Règles de gestion : RG-USER-01, RG-SEC-01

---
**Endpoint(s) REST :** `POST /api/auth/register`
**Référence CDC :** CDC §5.1","auth,must,sprint-1"
"US-AUTH-02 - Connexion","**En tant que** utilisateur inscrit,
**je veux** me connecter,
**afin de** accéder à mon espace personnel.

### Critères d'acceptation
- Formulaire : email, mot de passe
- JWT généré (payload email, rôle), expiration 24h
- Jeton transmis via header Authorization
- Message d'erreur générique en cas d'échec (HTTP 401)
- Redirection selon rôle : USER -> catalogue, LIBRARIAN/ADMIN -> dashboard

Règles de gestion : RG-SEC-02

---
**Endpoint(s) REST :** `POST /api/auth/login`
**Référence CDC :** CDC §5.1","auth,must,sprint-1"
"US-AUTH-03a - Profil","**En tant que** utilisateur connecté,
**je veux** consulter et modifier mes informations personnelles,
**afin de** maintenir mes coordonnées à jour.

### Critères d'acceptation
- Affichage : email (non modifiable), prénom, nom, téléphone, date d'inscription, rôle
- Prénom, nom, téléphone modifiables (téléphone facultatif - A-09)
- Validation client + serveur (Jakarta Validation)
- Choix du nom affiché sur commentaires : prénom réel ou pseudonyme
- Accès restreint à son propre profil (contrôle serveur)
- Message de confirmation après enregistrement

---
**Endpoint(s) REST :** `-`
**Référence CDC :** CDC §5.1","auth,should,sprint-2"
"US-AUTH-03b - Changement de mot de passe","**En tant que** utilisateur connecté,
**je veux** changer mon mot de passe,
**afin de** sécuriser mon compte.

### Critères d'acceptation
- Nouveau mot de passe respecte RG-SEC-01
- Haché en BCrypt avant enregistrement
- Formulaire : ancien mot de passe, nouveau, confirmation
- Ancien mot de passe vérifié côté serveur

Règles de gestion : RG-SEC-01

---
**Endpoint(s) REST :** `-`
**Référence CDC :** CDC §5.1, §7.2","auth,should,sprint-2"
"US-AUTH-03c - Suppression de compte","**En tant que** utilisateur connecté,
**je veux** supprimer mon compte,
**afin de** exercer mon droit à l'oubli.

### Critères d'acceptation
- Confirmation explicite (mot de passe ou case à cocher)
- Données personnelles supprimées/anonymisées
- Refusée si emprunts en cours
- Réservations en attente annulées, file réordonnée
- Historique emprunts conservé anonymisé (stats)
- Commentaires conservés, auteur anonyme
- Déconnexion, jeton invalidé

---
**Endpoint(s) REST :** `-`
**Référence CDC :** CDC §5.1, §7.4","auth,should,sprint-2"
"US-BOOK-01 - Consultation","**En tant que** utilisateur,
**je veux** consulter les livres du catalogue,
**afin de** découvrir les ouvrages disponibles.

### Critères d'acceptation
- Grille responsive (desktop, tablette, mobile)
- Vignette : couverture, titre, auteur, badge disponibilité (vert/rouge)
- Pagination serveur, 20 livres/page
- Clic vignette -> fiche détaillée
- Chargement < 2s
- Catalogue réservé aux utilisateurs authentifiés (A-08)
- Catégories en puces cliquables, filtrage sans rechargement

---
**Endpoint(s) REST :** `GET /api/books`
**Référence CDC :** CDC §5.2","catalogue,must,sprint-1"
"US-BOOK-02 - Détail livre","**En tant que** utilisateur,
**je veux** voir le détail d'un livre,
**afin de** décider si je l'emprunte.

### Critères d'acceptation
- Fiche : titre, auteur, ISBN, catégorie, description, année, exemplaires total/disponible
- Note moyenne en étoiles + nombre de notes
- Liste des commentaires (auteur, date)
- Bouton Emprunter actif si droit d'emprunter, sinon bouton Réserver
- Accès authentifié requis (A-08)

Règles de gestion : RG-LOAN-05, RG-RESA-02

---
**Endpoint(s) REST :** `GET /api/books/{id}`
**Référence CDC :** CDC §5.2","catalogue,must,sprint-1"
"US-BOOK-03 - Recherche","**En tant que** utilisateur,
**je veux** rechercher un livre,
**afin de** le trouver rapidement.

### Critères d'acceptation
- Barre de recherche permanente sur le catalogue
- Recherche sur titre, auteur, ISBN, insensible à la casse
- Filtre par catégorie et par disponibilité
- Tri : alphabétique, note moyenne, date d'ajout
- Temps de réponse < 1s (index sur colonnes de recherche)
- Espaces début/fin ignorés, filtres cumulables
- Message explicite si aucun résultat

---
**Endpoint(s) REST :** `GET /api/books/search`
**Référence CDC :** CDC §5.2","catalogue,must,sprint-1"
"US-BOOK-04a - Gestion du catalogue - ajout d'un livre","**En tant que** bibliothécaire,
**je veux** ajouter un livre au catalogue,
**afin de** enrichir le fonds de la bibliothèque.

### Critères d'acceptation
- Accès réservé LIBRARIAN et ADMIN (HTTP 403 sinon)
- Apparition immédiate dans le catalogue (HTTP 201)
- Champs obligatoires : titre, auteur, ISBN, catégorie (unique), nombre d'exemplaires
- Format ISBN validé, unicité vérifiée
- Nombre d'exemplaires entier strictement positif

---
**Endpoint(s) REST :** `POST /api/books (LIBRARIAN)`
**Référence CDC :** CDC §5.2, §6.2","catalogue,must,sprint-1"
"US-BOOK-04b - Gestion du catalogue - modification d'un livre","**En tant que** bibliothécaire,
**je veux** modifier les informations d'un livre,
**afin de** tenir le catalogue à jour.

### Critères d'acceptation
- Mêmes règles de validation qu'à la création
- Formulaire pré-rempli
- Diminution du nombre d'exemplaires possible (après retour enregistré), ne peut pas descendre sous le nombre en cours d'emprunt
- Message de confirmation après enregistrement

---
**Endpoint(s) REST :** `PUT /api/books/{id} (LIBRARIAN)`
**Référence CDC :** CDC §5.2, §6.2","catalogue,must,sprint-1"
